ID(original),ID,Question,Answers
5GTrue,1,is it true that 5G causes the Corona virus?,"No. This is one of the myths that was busted by the WHO. Biological viruses cannot travel on radio waves/mobile networks. Also, COVID-19 is spreading to many countries that do not have 5G mobile networks."
5GTrue,1,Can you get Covid 19 from 5g?,"No. This is one of the myths that was busted by the WHO. Biological viruses cannot travel on radio waves/mobile networks. Also, COVID-19 is spreading to many countries that do not have 5G mobile networks."
Affected,2,What are the different risk categories and what is their recovery timeline?,"While all ages can be infected by the virus, those with an elevated risk of exposure are people from places where ongoing community spread of the COVID-19-causing virus is occuring, healthcare workers caring for COVID-19 patients, close contacts of persons with COVID-19, and travelers returning from affected international locations where community spread is occurring. Older people and people of all ages with severe underlying health conditions like heart disease, lung disease, and diabetes seem to be at higher risk of developing serious COVID-19 illness."
Affected,2,Who tends to catch the virus?,"While all ages can be infected by the virus, those with an elevated risk of exposure are people from places where ongoing community spread of the COVID-19-causing virus is occuring, healthcare workers caring for COVID-19 patients, close contacts of persons with COVID-19, and travelers returning from affected international locations where community spread is occurring. Older people and people of all ages with severe underlying health conditions like heart disease, lung disease, and diabetes seem to be at higher risk of developing serious COVID-19 illness."
Affected,2,What age brackets are most affected by the coronavirus?,"While all ages can be infected by the virus, those with an elevated risk of exposure are people from places where ongoing community spread of the COVID-19-causing virus is occuring, healthcare workers caring for COVID-19 patients, close contacts of persons with COVID-19, and travelers returning from affected international locations where community spread is occurring. Older people and people of all ages with severe underlying health conditions like heart disease, lung disease, and diabetes seem to be at higher risk of developing serious COVID-19 illness."
AffectedWorld,3,How many are affected in Sweden,Up to date case numbers for Sweden (and all other countries with documented cases) can be found at the Johns Hopkins University COVID-19 dashboard
AgeDeath,4,Does it just kill old people?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,What was the age of death people?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Do young people die from COVID-19?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,What's the average age of people dying from the virus?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Is the virus deadly for young people?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Can young people die from the virus?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Are old people the only ones at risk of dying?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Do babies die from COVID-19?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
AgeDeath,4,Is it mainly old people dying?,"COVID-19 is an equal opportunity virus. The mortality rate is varied across some demographic segments, but it impacts all groups of people."
